"#","DNP","Qty","Datasheet","Footprint","Vender Part Number","Vendor url","Cost (ea.)","Notes"
"1","","1","","","","","",""
"2","","1","","","","","",""
"3","","1","","","","","",""
"4","","5","","","","","",""
"5","","5","","","","","",""
"6","","1","","","","","",""
"7","","12","~","","","","",""
"8","","1","","","","","",""
"9","","1","~","","","","",""
"10","","1","~","","","","",""
"11","","1","http://www.fairchildsemi.com/ds/BS/BS170.pdf","Package_TO_SOT_THT:TO-92_Inline","","","",""
"12","","1","https://www.fairchildsemi.com/datasheets/2N/2N3906.pdf","Package_TO_SOT_THT:TO-92_Inline","","","",""
"13","","1","","","","","",""
"14","","2","","","","","",""
"15","","1","","","","","",""
"16","","1","","","","","",""
"17","","1","","","","","",""
"18","","2","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","","","",""
"19","","1","","","","","",""
"20","","3","","","","","",""
"21","","1","","","","","",""
"22","","1","","","","","",""
"23","","1","","","","","",""
